tipo,genero,apellido1,apellido2,nombre_a,nombre_b,estrategia,forma_a,forma_b,ipa_a,ipa_b,ganador,fuente,modelo,error
T2,F,García,,Cecilia,Rocío,contraste,Cecilia García,Rocío García,sesˈilja,ɾɾosˈio,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Manuela,Ramona,dificil,Manuela García,Ramona García,manwˈela,ɾɾamˈona,A,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Isabel,Emma,aleatorio,Isabel García,Emma García,ˌisaβˈel,ˈemma,A,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Rocío,Ignacia,contraste,Rocío García,Ignacia García,ɾɾosˈio,iɡnˈasja,A,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Luna,Aitana,aleatorio,Luna García,Aitana García,lˈuna,aɪtˈana,A,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Emilia,Rocío,contraste,Emilia García,Rocío García,emˈilja,ɾɾosˈio,A,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Andrea,Lucía,aleatorio,Andrea García,Lucía García,andɾˈea,lusˈia,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Aitana,Sara,dificil,Aitana García,Sara García,aɪtˈana,sˈaɾa,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Renata,Valentina,dificil,Renata García,Valentina García,ɾɾenˈata,bˌalentˈina,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Irene,Manuela,aleatorio,Irene García Romero,Manuela García Romero,iɾˈene,manwˈela,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Martina,Ramona,dificil,Martina García Romero,Ramona García Romero,maɾtˈina,ɾɾamˈona,A,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Rocío,Julia,contraste,Rocío García Romero,Julia García Romero,ɾɾosˈio,xˈulja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Rocío,Cecilia,contraste,Rocío García Romero,Cecilia García Romero,ɾɾosˈio,sesˈilja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Andrea,Daniela,aleatorio,Andrea García Romero,Daniela García Romero,andɾˈea,danjˈela,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Miranda,Laura,aleatorio,Miranda García Romero,Laura García Romero,miɾˈanda,lˈaʊɾa,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Rocío,Amelia,contraste,Rocío García Romero,Amelia García Romero,ɾɾosˈio,amˈelja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Amelia,Olivia,dificil,Amelia García Romero,Olivia García Romero,amˈelja,olˈiβja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Victoria,Rocío,contraste,Victoria García Romero,Rocío García Romero,biktˈoɾja,ɾɾosˈio,A,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Cecilia,Ignacia,dificil,Cecilia García Romero,Ignacia García Romero,sesˈilja,iɡnˈasja,A,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Daniela,Manuela,dificil,Daniela García Romero,Manuela García Romero,danjˈela,manwˈela,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Mía,Valeria,dificil,Mía García Romero,Valeria García Romero,mˈia,balˈeɾja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Jimena,Ximena,dificil,Jimena García Romero,Ximena García Romero,ximˈena,simˈena,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Julieta,Valentina,aleatorio,Julieta García Romero,Valentina García Romero,xuljˈeta,bˌalentˈina,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Sara,Andrea,aleatorio,Sara García Romero,Andrea García Romero,sˈaɾa,andɾˈea,A,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Valeria,Rocío,contraste,Valeria García Romero,Rocío García Romero,balˈeɾja,ɾɾosˈio,A,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Emilia,Rocío,contraste,Emilia García Romero,Rocío García Romero,emˈilja,ɾɾosˈio,A,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Renata,Victoria,aleatorio,Renata García Romero,Victoria García Romero,ɾɾenˈata,biktˈoɾja,A,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Aitana,Clara,dificil,Aitana García Romero,Clara García Romero,aɪtˈana,klˈaɾa,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Olivia,Rocío,contraste,Olivia García Romero,Rocío García Romero,olˈiβja,ɾɾosˈio,A,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Valentina,Regina,aleatorio,Valentina García Romero,Regina García Romero,bˌalentˈina,ɾɾexˈina,A,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Emilia,Olivia,dificil,Emilia García Romero,Olivia García Romero,emˈilja,olˈiβja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Rocío,Ignacia,contraste,Rocío García Romero,Ignacia García Romero,ɾɾosˈio,iɡnˈasja,A,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Diana,Julia,dificil,Diana García Romero,Julia García Romero,djˈana,xˈulja,A,llm,anthropic/claude-4.6-sonnet-20260217,
T3,F,García,Romero,Josefina,Milagros,aleatorio,Josefina García Romero,Milagros García Romero,xˌosefˈina,milˈaɣɾos,A,llm,anthropic/claude-4.6-sonnet-20260217,
